Date,Open,High,Low,Close,Adj Close,Volume
1991-01-02,4.593750,4.875000,4.593750,4.875000,0.296183,0
1991-01-03,4.500000,5.062500,4.500000,4.875000,0.296183,0
1991-01-04,null,null,null,null,null,null
1991-01-07,4.875000,5.062500,4.875000,5.062500,0.307574,0
1991-01-08,null,null,null,null,null,null
1991-01-09,5.062500,5.062500,4.500000,4.968750,0.301879,0
1991-01-10,null,null,null,null,null,null
1991-01-11,5.062500,5.250000,4.781250,5.250000,0.318966,0
1991-01-14,5.062500,5.250000,5.062500,5.062500,0.307574,0
1991-01-15,null,null,null,null,null,null
1991-01-16,null,null,null,null,null,null
1991-01-17,null,null,null,null,null,null
1991-01-18,null,null,null,null,null,null
1991-01-21,null,null,null,null,null,null
1991-01-22,null,null,null,null,null,null
1991-01-23,5.062500,5.250000,4.875000,5.062500,0.307574,0
1991-01-24,5.062500,5.437500,5.062500,5.250000,0.318966,0
1991-01-25,5.250000,5.250000,4.500000,4.875000,0.296183,0
1991-01-28,null,null,null,null,null,null
1991-01-29,null,null,null,null,null,null
1991-01-30,null,null,null,null,null,null
1991-01-31,4.687500,5.062500,4.687500,5.062500,0.307574,0
1991-02-01,4.875000,5.250000,4.875000,5.250000,0.318966,0
1991-02-04,5.437500,5.531250,5.250000,5.437500,0.330358,0
1991-02-05,5.250000,5.625000,5.250000,5.325000,0.323523,0
1991-02-06,5.437500,5.437500,4.875000,5.250000,0.318966,0
1991-02-07,5.062500,5.062500,4.781250,5.062500,0.307574,0
1991-02-08,5.062500,5.062500,4.781250,4.968750,0.301879,0
1991-02-11,4.687500,4.875000,4.500000,4.875000,0.296183,0
1991-02-12,null,null,null,null,null,null
1991-02-13,4.593750,4.875000,4.500000,4.687500,0.284791,0
1991-02-14,4.687500,4.875000,4.687500,4.687500,0.284791,0
1991-02-15,4.687500,4.875000,4.687500,4.875000,0.296183,0
1991-02-18,null,null,null,null,null,null
1991-02-19,5.062500,5.531250,5.062500,5.437500,0.330358,0
1991-02-20,5.250000,5.250000,4.968750,5.062500,0.307574,0
1991-02-21,5.250000,5.250000,4.875000,5.062500,0.307574,0
1991-02-22,5.062500,5.437500,4.968750,5.062500,0.307574,0
1991-02-25,null,null,null,null,null,null
1991-02-26,5.250000,5.437500,5.062500,5.156250,0.313270,0
1991-02-27,5.343750,5.343750,5.062500,5.062500,0.307574,0
1991-02-28,5.156250,5.437500,5.062500,5.156250,0.313270,0
1991-03-01,null,null,null,null,null,null
1991-03-04,4.875000,5.625000,4.875000,5.250000,0.318966,0
1991-03-05,5.250000,5.437500,5.062500,5.156250,0.313270,0
1991-03-06,null,null,null,null,null,null
1991-03-07,5.250000,5.437500,4.875000,4.875000,0.296183,0
1991-03-08,5.250000,5.343750,5.062500,5.250000,0.318966,0
1991-03-11,5.437500,5.531250,5.250000,5.437500,0.330358,0
1991-03-12,5.250000,5.437500,4.875000,4.875000,0.296183,0
1991-03-13,5.062500,5.437500,5.062500,5.250000,0.318966,0
1991-03-14,null,null,null,null,null,null
1991-03-15,5.343750,5.531250,5.250000,5.250000,0.318966,0
1991-03-18,5.156250,5.437500,5.156250,5.250000,0.318966,0
1991-03-19,null,null,null,null,null,null
1991-03-20,5.250000,5.437500,5.175000,5.343750,0.324662,0
1991-03-21,5.250000,5.250000,4.968750,5.062500,0.307574,0
1991-03-22,5.250000,5.343750,5.062500,5.156250,0.313270,0
1991-03-25,5.062500,5.250000,4.875000,5.156250,0.313270,0
1991-03-26,5.062500,5.250000,4.875000,5.062500,0.307574,0
1991-03-27,5.062500,5.250000,5.062500,5.062500,0.307574,0
1991-03-28,null,null,null,null,null,null
1991-03-29,null,null,null,null,null,null
1991-04-01,5.062500,5.343750,5.062500,5.156250,0.313270,0
1991-04-02,5.062500,5.437500,5.062500,5.175000,0.314409,0
1991-04-03,5.250000,5.437500,5.156250,5.250000,0.318966,0
1991-04-04,5.062500,5.325000,5.062500,5.156250,0.313270,0
1991-04-05,5.062500,5.325000,5.062500,5.250000,0.318966,0
1991-04-08,5.250000,5.343750,5.156250,5.343750,0.324662,0
1991-04-09,5.437500,5.437500,5.062500,5.250000,0.318966,0
1991-04-10,null,null,null,null,null,null
1991-04-11,5.156250,5.343750,5.156250,5.156250,0.313270,0
1991-04-12,5.437500,5.437500,5.156250,5.250000,0.318966,0
1991-04-15,5.250000,5.531250,5.250000,5.343750,0.324662,0
1991-04-16,5.250000,5.437500,5.250000,5.437500,0.330358,0
1991-04-17,null,null,null,null,null,null
1991-04-18,5.437500,5.437500,5.156250,5.250000,0.318966,0
1991-04-19,5.325000,5.437500,5.250000,5.250000,0.318966,0
1991-04-22,5.250000,5.437500,5.250000,5.250000,0.318966,0
1991-04-23,5.250000,5.400000,5.156250,5.287500,0.321244,0
1991-04-24,5.250000,5.625000,5.250000,5.343750,0.324662,0
1991-04-25,5.437500,5.625000,5.343750,5.437500,0.330358,0
1991-04-26,5.437500,5.906250,5.437500,5.625000,0.341749,0
1991-04-29,5.437500,5.812500,5.437500,5.625000,0.341749,0
1991-04-30,5.531250,5.906250,5.531250,5.625000,0.341749,0
1991-05-01,null,null,null,null,null,null
1991-05-02,null,null,null,null,null,null
1991-05-03,5.625000,5.906250,5.625000,5.812500,0.353141,0
1991-05-06,5.625000,6.187500,5.625000,5.906250,0.358837,0
1991-05-07,5.906250,6.187500,5.812500,5.906250,0.358837,0
1991-05-08,5.906250,6.093750,5.812500,5.812500,0.353141,0
1991-05-09,5.906250,6.000000,5.718750,5.812500,0.353141,0
1991-05-10,5.718750,6.000000,5.718750,6.000000,0.364533,0
1991-05-13,5.812500,6.187500,5.812500,6.000000,0.364533,0
1991-05-14,6.093750,6.093750,5.812500,5.906250,0.358837,0
1991-05-15,null,null,null,null,null,null
1991-05-16,6.000000,6.093750,5.812500,6.000000,0.364533,0
1991-05-17,5.925000,6.093750,5.906250,5.906250,0.358837,0
