,Close
0,1376.5793
1,1381.772
2,1375.5303
3,1372.9143
4,1357.8392
5,1333.321
6,1321.757
7,1323.4163
8,1322.1251
9,1305.423
10,1285.8923
11,1269.1355
12,1256.7174
13,1250.1251
14,1259.2722
15,1262.3984
16,1255.966
17,1258.0337
18,1272.3624
19,1273.284
20,1272.7659
21,1274.2083
22,1275.8828
23,1267.1998
24,1256.8246
25,1247.781
26,1238.1924
27,1227.4121
28,1235.6272
29,1226.5864
30,1226.8684
31,1234.1208
32,1245.4569
33,1242.7942
34,1241.8813
35,1252.6124
36,1258.8014
37,1267.0938
38,1267.7822
39,1266.7792
40,1263.7078
41,1257.1173
42,1242.3948
43,1245.7728
44,1250.9385
45,1253.1721
46,1261.8508
47,1278.723
48,1282.2195
49,1287.5581
50,1301.2767
51,1314.5167
52,1323.1132
53,1329.4558
54,1319.144
55,1315.5837
56,1303.6647
57,1295.9463
58,1299.3668
59,1292.9572
60,1305.5668
61,1310.363
62,1313.4108
63,1331.8083
64,1355.7856
65,1382.3672
66,1396.4644
67,1407.7723
68,1399.745
69,1395.8009
70,1405.062
71,1409.0298
72,1412.5731
73,1411.1135
74,1411.5641
75,1410.4078
76,1403.7444
77,1407.1892
78,1413.4055
79,1423.354
80,1420.8145
81,1411.581
82,1405.8826
83,1394.5281
84,1388.5397
85,1385.6571
86,1373.6583
87,1364.0461
88,1359.7516
89,1353.0581
90,1345.6757
91,1338.0349
92,1342.5593
93,1336.518
94,1317.7072
95,1317.5068
96,1317.7671
97,1311.1356
98,1311.2617
99,1304.585
100,1300.1854
101,1320.7267
102,1317.1626
103,1319.4987
104,1331.2284
105,1336.8485
106,1345.7247
107,1351.694
108,1349.9386
109,1344.9376
110,1328.7716
111,1327.0342
112,1339.366
113,1341.8712
114,1361.8617
115,1359.9917
116,1360.9918
117,1370.5746
118,1413.2714
119,1457.2856
120,1470.6017
121,1487.015
122,1495.5016
123,1482.173
124,1476.353
125,1463.9845
126,1473.653
127,1478.7104
128,1475.3269
129,1449.1981
130,1441.7294
131,1429.4131
132,1421.1233
133,1395.3429
134,1375.2803
135,1368.448
136,1351.9955
137,1349.8568
138,1356.7432
139,1367.7666
140,1365.1296
141,1366.5109
142,1388.4984
143,1412.311
144,1421.0552
145,1415.3398
146,1416.9786
147,1410.5057
148,1406.6464
149,1409.8236
150,1398.0157
151,1376.3984
152,1367.0026
153,1350.6809
154,1346.4739
155,1322.271
156,1321.3645
157,1338.2283
158,1355.1809
159,1361.807
160,1357.4283
161,1378.8188
162,1385.2506
163,1381.8126
164,1376.0192
165,1376.9188
166,1375.7496
167,1389.5748
168,1377.391
169,1388.7609
170,1385.37
171,1378.6368
172,1374.9496
173,1360.3137
174,1350.4385
175,1356.1444
176,1365.3445
177,1372.6797
178,1392.9191
179,1406.615
180,1412.8031
181,1408.8851
182,1424.5881
183,1438.5776
184,1439.0873
185,1459.0344
186,1469.7552
187,1502.4224
188,1496.112
189,1493.989
190,1497.6504
191,1504.2452
192,1478.076
193,1486.8046
194,1469.5305
195,1457.9271
196,1442.0183
197,1423.8848
198,1401.9187
199,1373.5878
200,1338.3788
201,1329.4512
202,1323.3965
203,1320.3171
204,1316.5719
205,1308.7677
206,1307.7504
207,1315.6521
208,1337.3842
209,1344.4318
210,1369.7343
211,1386.6145
212,1381.7668
213,1375.1725
214,1347.8215
215,1338.127
216,1321.2643
217,1298.0413
218,1287.7761
219,1283.7107
220,1267.4025
221,1270.1927
222,1265.4912
223,1271.4495
224,1270.6346
225,1289.1156
226,1308.7485
227,1329.7606
228,1351.7277
229,1365.5088
230,1379.1938
231,1390.913
232,1387.2139
233,1385.0706
234,1395.1191
235,1405.5066
236,1405.2742
237,1402.4022
238,1425.7946
239,1440.2261
240,1448.4691
241,1460.683
242,1480.0597
243,1451.43
244,1451.6526
245,1454.1361
246,1456.2743
247,1461.3558
248,1469.7698
249,1478.3875
250,1517.4048
251,1533.4166
252,1548.021
253,1563.1041
254,1580.6498
255,1597.8918
256,1592.3955
257,1600.431
258,1607.9108
259,1605.6548
260,1616.1301
261,1612.6797
262,1617.1165
263,1623.8472
264,1613.7235
265,1609.8916
266,1610.7659
267,1587.6436
268,1576.4282
269,1571.0208
270,1560.3936
271,1571.0536
272,1566.5844
273,1578.4965
274,1583.1075
275,1568.1176
276,1566.6387
277,1579.8552
278,1573.3303
279,1571.9666
280,1562.1117
281,1559.7745
282,1551.8833
283,1560.4088
284,1568.1432
285,1577.334
286,1591.833
287,1604.1975
288,1612.0024
289,1592.373
290,1578.2299
291,1577.1061
292,1573.7742
293,1585.7162
294,1584.5889
295,1603.5809
296,1610.6808
297,1621.6641
298,1645.5983
299,1659.0139
300,1661.166
301,1658.5342
302,1658.768
303,1693.5424
304,1695.247
305,1709.5148
306,1722.1686
307,1720.7329
308,1715.2517
309,1698.1744
310,1691.5151
311,1683.1128
312,1680.6138
