,Open,High,Low,Close,Volume,Dividends,Stock Splits,DPO,USDINR_Close,Palladium_Close,Rhodium_Close,BSE_Close,AORD_Close,DJI_Close,FCHIX_Close,FTSE_Close,GDAXI_Close,GSPC_Close,HSI_Close
0,1342.4000244140625,1346.8199462890625,1336.3599853515625,1343.5999755859375,3626110000.0,0.0,0.0,-1215.4480010986329,44.959999084472656,728.1500244140625,192.9796295166016,18141.400390625,4828.2001953125,12605.3203125,1.1117351055145264,5956.0,7358.22998046875,1343.5999755859375,23163.380859375
1,1342.0,1342.0,1330.6700439453125,1333.27001953125,4066020000.0,0.0,0.0,-1215.2425018310546,44.84999847412109,735.5,192.4949188232422,18326.08984375,4807.7001953125,12512.0400390625,1.1117351055145264,5948.5,7266.81982421875,1333.27001953125,23199.390625
2,1333.0699462890625,1333.0699462890625,1312.8800048828125,1317.3699951171875,3255580000.0,0.0,0.0,-1212.60849609375,44.99300003051758,731.7999877929688,192.9796295166016,17993.330078125,4722.89990234375,12381.259765625,1.1117351055145264,5835.89990234375,7121.52001953125,1317.3699951171875,22711.01953125
3,1317.699951171875,1323.719970703125,1313.8699951171875,1316.280029296875,3846250000.0,0.0,0.0,-1211.060498046875,45.150001525878906,735.25,191.4747314453125,18011.970703125,4708.2998046875,12356.2099609375,1.1117351055145264,5858.39990234375,7150.66015625,1316.280029296875,22730.779296875
4,1316.3599853515625,1325.8599853515625,1311.800048828125,1320.469970703125,4109670000.0,0.0,0.0,-1209.3109893798828,45.15999984741211,747.3499755859375,207.94000244140625,17847.240234375,4661.60009765625,12394.66015625,1.1117351055145264,5870.10009765625,7170.93994140625,1320.469970703125,22747.279296875
5,1320.6400146484375,1328.510009765625,1314.4100341796875,1325.68994140625,3259470000.0,0.0,0.0,-1207.5714874267578,45.22999954223633,757.2000122070312,226.91000366210935,18044.640625,4735.10009765625,12402.759765625,1.1117351055145264,5881.0,7114.08984375,1325.68994140625,22900.7890625
6,1325.68994140625,1334.6199951171875,1325.68994140625,1331.0999755859375,3124560000.0,0.0,0.0,-1204.2659942626954,45.18999862670898,759.9000244140625,244.3600006103516,18266.099609375,4760.2998046875,12441.580078125,1.1117351055145264,5938.89990234375,7163.47021484375,1331.0999755859375,23118.0703125
7,1331.0999755859375,1345.199951171875,1331.0999755859375,1345.199951171875,4696240000.0,0.0,0.0,-1203.4649932861328,45.08300018310547,778.9500122070312,252.94000244140625,18503.279296875,4788.89990234375,12569.7900390625,1.1117351055145264,5990.0,7293.68994140625,1345.199951171875,23684.130859375
8,1345.199951171875,1345.199951171875,1313.7099609375,1314.550048828125,4241090000.0,0.0,0.0,-1202.8414916992188,44.959999084472656,777.4500122070312,250.9199981689453,18608.810546875,4788.60009765625,12290.1396484375,1.1122748851776123,5928.60009765625,7217.43017578125,1314.550048828125,23626.4296875
9,1314.550048828125,1318.030029296875,1305.6099853515625,1312.93994140625,3762170000.0,0.0,0.0,-1201.122491455078,44.7599983215332,768.4000244140625,250.9199981689453,18494.1796875,4683.2001953125,12248.5498046875,1.1122748851776123,5847.89990234375,7074.1201171875,1312.93994140625,23253.83984375
10,1312.93994140625,1312.93994140625,1297.9000244140625,1300.1600341796875,3505030000.0,0.0,0.0,-1200.075491333008,44.7599983215332,783.25,233.91000366210935,18376.48046875,4666.60009765625,12151.259765625,1.1068756580352783,5855.0,7109.02978515625,1300.1600341796875,22949.560546875
11,1286.31005859375,1296.219970703125,1284.739990234375,1284.93994140625,3846250000.0,0.0,0.0,-1193.2164947509766,44.66999816894531,807.7999877929688,228.41000366210935,18495.619140625,4641.10009765625,12070.8095703125,1.1068756580352783,5864.7001953125,7103.25,1284.93994140625,22868.669921875
12,1284.6300048828125,1287.0400390625,1277.4200439453125,1279.56005859375,3970810000.0,0.0,0.0,-1189.3364959716796,44.61000061035156,804.0,222.38999938964844,18394.2890625,4608.7001953125,12048.9404296875,1.1068756580352783,5808.89990234375,7060.22998046875,1279.56005859375,22661.630859375
13,1279.6300048828125,1294.5400390625,1279.6300048828125,1289.0,3332510000.0,0.0,0.0,-1187.4525024414063,44.65999984741211,816.4000244140625,221.38999938964844,18384.900390625,4621.7001953125,12124.3603515625,1.1014764308929443,5856.2998046875,7159.66015625,1289.0,22609.830078125
14,1288.5999755859375,1288.5999755859375,1268.280029296875,1270.97998046875,3846250000.0,0.0,0.0,-1183.5690002441406,44.59999847412109,815.7000122070312,220.38999938964844,18268.5390625,4634.89990234375,11951.91015625,1.1014764308929443,5765.7998046875,7069.89990234375,1270.97998046875,22420.369140625
15,1272.219970703125,1292.5,1272.219970703125,1287.8699951171875,3500280000.0,0.0,0.0,-1178.111996459961,44.79999923706055,790.9000244140625,216.88999938964844,18308.66015625,4651.10009765625,12076.1103515625,1.1014764308929443,5803.10009765625,7204.7900390625,1287.8699951171875,22496.0
16,1287.8699951171875,1287.8699951171875,1261.9000244140625,1265.4200439453125,4070500000.0,0.0,0.0,-1177.3239990234374,44.73899841308594,774.0,208.38999938964844,18132.240234375,4635.39990234375,11897.26953125,1.0960769653320312,5742.60009765625,7115.080078125,1265.4200439453125,22343.76953125
17,1265.530029296875,1274.1099853515625,1258.0699462890625,1267.6400146484375,3846250000.0,0.0,0.0,-1173.6719970703125,44.709999084472656,761.5,209.58999633789065,17985.880859375,4546.7001953125,11961.51953125,1.0960769653320312,5698.7998046875,7110.2001953125,1267.6400146484375,21953.109375
