,Open,High,Low,Adj Close,Close,Volume,Turnover (Lacs),DPO,New York 9:30,Total Market Value
2012-04-16,747.1,753.45,736.0,748.05,748.1,2404246.0,17929.1,853.6575000000018,1375.0,243694665.0
2012-04-17,754.8,754.8,740.35,746.7,746.4,3175927.0,23682.19,891.155000000002,1375.0,241310371.0
2012-04-18,750.0,756.8,742.7,750.0,748.6,3428345.0,25706.92,891.480000000002,1385.0,236045057.0
2012-04-19,753.9,753.9,738.5,742.0,741.65,4205746.0,31335.82,942.975000000002,1385.0,243197937.0
2012-04-20,740.05,741.0,728.0,731.0,730.85,3410977.0,24994.8,944.8350000000019,1385.0,239621497.0
2012-04-23,725.85,745.75,724.2,736.0,736.3,5053199.0,37287.44,958.037500000002,1385.0,243396628.0
2012-04-24,739.0,740.5,723.7,738.1,735.1,3809316.0,27854.66,958.485000000002,1385.0,241608408.0
2012-04-25,734.1,742.9,728.05,736.0,736.3,3105631.0,22838.11,1020.675000000002,1385.0,238826732.0
2012-04-26,737.1,749.0,733.6,740.0,745.05,3469984.0,25719.84,1019.975000000002,1385.0,241409717.0
2012-04-27,741.3,747.15,736.5,738.0,742.0,2857701.0,21171.1,1037.4600000000019,1385.0,248562597.0
2012-04-30,737.5,747.9,737.5,745.0,745.1,2776770.0,20669.1,1013.8700000000019,1385.0,252039692.0
2012-05-02,747.9,751.4,740.0,744.0,743.55,2861902.0,21310.84,1013.720000000002,1385.0,242999246.0
2012-05-03,738.5,744.45,735.15,740.75,738.85,1897162.0,14038.24,985.4625000000019,1385.0,244191393.0
2012-05-04,733.4,740.0,722.0,727.0,726.45,3778468.0,27606.71,986.4900000000019,1385.0,246476341.0
2012-05-07,715.0,722.0,705.1,715.5,715.7,4591050.0,32716.3,988.6625000000017,1385.0,246376995.0
2012-05-08,718.0,718.9,699.0,708.65,708.35,3885415.0,27512.14,990.3775000000018,1385.0,247569142.0
2012-05-09,702.0,708.3,691.05,697.6,695.1,3670660.0,25597.49,987.9875000000018,1385.0,241310371.0
2012-05-10,697.25,708.4,690.55,694.5,694.15,3391819.0,23738.84,990.4450000000018,1375.0,233462072.0
2012-05-11,693.0,703.0,688.3,698.0,697.2,3042510.0,21193.2,1026.1625000000017,1360.0,230879087.0
2012-05-14,698.0,702.8,678.55,681.0,681.3,4081094.0,28132.72,1029.5025000000019,1360.0,231673852.0
2012-05-15,679.0,688.0,674.1,682.3,681.65,3696346.0,25185.65,1028.6900000000016,1360.0,237336549.0
2012-05-16,675.0,682.8,673.05,676.15,676.1,3101760.0,20996.93,1032.3150000000016,1360.0,246376995.0
2012-05-17,680.25,689.85,677.8,686.8,685.15,3560488.0,24379.02,1041.0900000000015,1350.0,248363906.0
2012-05-18,676.9,696.4,675.0,689.0,688.55,2363960.0,16223.61,1043.2050000000017,1350.0,252536420.0
2012-05-21,686.5,700.7,686.0,697.0,695.5,2334127.0,16249.99,1037.6950000000018,1335.0,251542964.0
2012-05-22,704.6,704.6,688.75,690.0,691.1,2938047.0,20449.93,1039.8950000000018,1335.0,237237203.0
2012-05-23,685.2,689.95,679.55,689.0,686.85,2583348.0,17722.9,1033.0675000000017,1320.0,239820188.0
2012-05-24,694.0,700.0,686.1,699.95,695.3,2399818.0,16632.08,1035.5550000000017,1320.0,229885632.0
2012-05-25,695.0,695.3,688.55,690.65,691.2,3085023.0,21331.11,1041.5450000000017,1300.0,229885632.0
2012-05-29,702.2,709.8,697.55,700.95,701.85,3434316.0,24201.36,991.5225000000016,1280.0,223527516.0
2012-05-30,699.65,708.65,695.15,707.5,706.25,3521032.0,24761.6,993.3875000000016,1260.0,222335369.0
2012-05-31,697.0,729.05,682.35,718.0,705.6,9024961.0,62971.69,972.9000000000017,1250.0,220646494.0
2012-06-01,707.35,709.45,678.05,680.15,685.25,4096569.0,28404.29,974.9600000000017,1250.0,219156311.0
2012-06-04,677.0,697.0,673.4,695.7,692.75,3261847.0,22403.44,964.0075000000016,1250.0,225487425.0
2012-06-05,696.0,706.0,695.1,700.3,702.55,3036638.0,21282.7,964.2975000000017,1250.0,223404825.0
2012-06-06,704.45,718.0,698.5,714.0,715.9,5315222.0,37748.82,972.3575000000019,1250.0,229353774.0
2012-06-07,721.05,731.9,716.25,722.0,721.25,6387716.0,46295.28,971.0025000000019,1250.0,235339935.0
2012-06-08,718.0,731.9,712.3,729.0,729.7,2907005.0,21005.1,1002.1275000000019,1250.0,238807191.0
2012-06-11,732.7,736.4,718.1,718.7,722.25,2275396.0,16597.68,1000.0800000000019,1250.0,234256419.0
2012-06-12,715.0,726.0,714.4,722.0,722.95,2734310.0,19741.55,974.5150000000018,1250.0,228188722.0
2012-06-13,722.25,723.95,712.4,716.05,716.3,2274408.0,16300.6,972.5050000000018,1250.0,223204543.0
2012-06-14,716.0,720.8,711.05,716.55,716.35,1709717.0,12237.46,991.5950000000016,1250.0,225696633.0
2012-06-15,718.5,729.8,718.5,726.45,726.75,2271367.0,16481.05,989.6850000000017,1250.0,220820805.0
2012-06-18,730.35,734.5,712.0,719.8,718.9,2293698.0,16513.17,974.3650000000018,1250.0,232739495.0
2012-06-19,717.0,739.4,717.0,737.0,737.45,1783875.0,13033.69,972.0475000000017,1250.0,245958404.0
2012-06-20,738.0,742.95,733.0,739.2,737.4,2357462.0,17401.3,959.2200000000016,1250.0,246500163.0
2012-06-21,734.0,734.0,710.4,718.5,718.7,5168092.0,37051.28,958.0500000000015,1250.0,238482136.0
2012-06-22,713.55,714.9,703.55,710.2,711.0,4372864.0,31029.9,1012.0100000000016,1250.0,238915543.0
2012-06-25,714.2,722.95,712.0,717.05,716.2,2540620.0,18236.2,1011.2825000000016,1250.0,256251818.0
2012-06-26,717.5,725.5,714.45,724.0,723.5,3676587.0,26475.87,1016.6000000000017,1250.0,268495562.0
2012-06-27,726.4,729.6,718.0,724.1,722.5,1761932.0,12729.4,1015.7875000000017,1250.0,271962817.0
2012-06-28,724.4,727.8,716.65,717.2,719.9,2720915.0,19629.45,1016.4725000000016,1250.0,271421059.0
2012-06-29,725.1,740.9,725.1,735.4,737.85,3833575.0,28129.76,1013.8425000000016,1250.0,272396224.0
2012-07-03,739.95,742.65,731.3,735.7,736.35,2353246.0,17340.82,980.6700000000016,1250.0,292116237.0
2012-07-05,734.95,742.4,732.05,737.4,738.7,1784218.0,13181.63,982.9300000000017,1250.0,307177126.0
2012-07-06,738.0,738.0,729.5,735.35,734.85,2116579.0,15521.05,976.7725000000016,1250.0,301326133.0
2012-07-09,729.0,733.8,726.1,727.35,731.8,1782674.0,13026.89,976.2950000000017,1250.0,317253836.0
2012-07-10,731.45,742.0,730.8,741.6,739.7,1365637.0,10071.28,970.7575000000015,1235.0,311402843.0
2012-07-11,733.45,736.6,722.0,725.25,725.65,2728637.0,19879.31,970.2900000000016,1235.0,305118444.0
2012-07-12,721.9,729.8,717.1,721.2,721.2,2301028.0,16635.72,963.4975000000015,1235.0,316928781.0
2012-07-13,720.0,726.5,715.0,718.05,718.5,2599717.0,18746.72,963.9100000000016,1235.0,320937795.0
2012-07-16,720.0,724.15,715.05,719.35,720.35,1670329.0,12036.16,972.3875000000015,1235.0,336648794.0
2012-07-17,724.8,727.95,717.3,718.5,719.35,2605134.0,18815.87,973.2925000000015,1235.0,337840663.0
2012-07-18,718.0,721.85,712.2,715.1,715.8,1955014.0,13986.48,958.1225000000015,1235.0,344558470.0
2012-07-19,720.2,729.9,718.0,727.0,727.8,2670132.0,19357.17,957.6675000000016,1235.0,350084407.0
2012-07-20,722.3,728.85,717.05,721.9,722.65,2836027.0,20519.01,980.0850000000016,1225.0,357343973.0
2012-07-23,715.0,725.8,713.3,717.55,719.0,2336356.0,16813.22,979.9450000000016,1225.0,352793200.0
2012-07-24,721.0,726.85,718.35,723.2,724.5,1836693.0,13275.38,990.7450000000018,1210.0,342391435.0
2012-07-25,720.4,724.55,712.15,718.9,719.25,1999696.0,14345.69,990.9075000000018,1210.0,344341766.0
2012-07-26,720.9,720.9,706.65,709.55,710.15,3204015.0,22853.75,983.0950000000016,1200.0,338599125.0
2012-07-27,719.0,726.8,716.15,722.0,721.0,3078195.0,22204.2,983.9375000000016,1185.0,346075394.0
2012-07-30,723.0,731.8,721.85,730.45,729.6,1591825.0,11573.75,984.3775000000018,1165.0,355393642.0
2012-07-31,731.6,746.1,721.0,742.65,743.6,3081258.0,22680.61,984.0150000000018,1165.0,349542649.0
2012-08-01,740.25,750.9,738.6,743.4,746.75,3298891.0,24612.61,984.4400000000018,1165.0,346942207.0
2012-08-02,742.1,747.6,736.75,740.25,739.55,1822852.0,13524.42,984.3975000000019,1165.0,344276755.0
2012-08-03,735.0,748.0,730.55,741.9,742.55,2501572.0,18489.72,975.7625000000019,1165.0,350472240.0
2012-08-06,748.05,789.4,748.05,783.5,786.05,8545516.0,66488.91,973.0500000000019,1150.0,348608394.0
2012-08-07,786.05,795.95,777.75,781.15,783.75,4496299.0,35363.11,971.4475000000018,1150.0,346441984.0
2012-08-08,785.05,799.0,782.55,788.4,790.8,4199284.0,33280.82,968.1900000000019,1135.0,353366495.0
2012-08-09,788.9,796.4,776.65,781.7,780.15,2914451.0,22837.21,981.2925000000018,1135.0,356504164.0
2012-08-10,777.65,789.0,774.15,782.5,782.1,2440868.0,19124.51,978.1125000000018,1120.0,350228825.0
2012-08-13,779.5,790.0,779.5,788.0,788.15,1413458.0,11120.33,1028.422500000002,1120.0,342871532.0
2012-08-14,787.9,802.0,787.0,800.4,799.55,3773614.0,30075.62,1024.412500000002,1100.0,341464990.0
2012-08-16,802.05,821.85,799.1,816.8,816.15,4944737.0,40218.61,1023.045000000002,1100.0,349471457.0
2012-08-17,817.9,824.9,809.65,815.45,816.1,3275638.0,26781.67,1018.6300000000019,1100.0,349363261.0
2012-08-21,816.0,823.9,812.3,812.5,814.25,2527532.0,20637.8,1065.2000000000019,1100.0,362995894.0
2012-08-22,809.2,815.5,805.7,807.5,807.8,1999746.0,16193.95,1060.7600000000018,1100.0,361264766.0
