,Open,High,Low,Close,Adj Close,Volume,DPO,Low,Low,Low,Low,Low,Low,Total Market Value,Low,Total Market Value,Total Market Value,AORD_Close,DJI_Close,FCHIX_Close,FTSE_Close,GDAXI_Close,GSPC_Close,HSI_Close,KS11_Close,PSEIPS_Close,TWII_Close,NSEI_Close
2012-05-02,1384.5,1384.5,1324.0,1332.9,1327.9,666676.0,-94.95000000000027,1324.0,1324.0,1324.0,1324.0,1324.0,1324.0,16363624.0,1324.0,242999246.0,41109410.0,4504.8,13268.57,1.2816,5758.1,6710.77,1402.31,21309.08,1999.07,5228.84,7676.78,5239.15
2012-05-03,1329.8,1329.8,1284.1,1290.0,1295.65,662791.0,-93.97250000000031,1284.1,1284.1,1284.1,1284.1,1284.1,1284.1,16036226.0,1284.1,244191393.0,39546015.0,4494.5,13206.59,1.2879,5766.6,6694.44,1391.57,21249.53,1995.11,5300.41,7659.5,5188.4
2012-05-04,1287.3,1291.5,1260.95,1281.3,1275.4,644798.0,-116.9525000000001,1260.95,1260.95,1260.95,1260.95,1260.95,1260.95,16066560.0,1260.95,246476341.0,39276076.0,4459.4,13038.27,1.2879,5655.1,6561.47,1369.1,21086.0,1989.15,5297.55,7700.92,5086.85
2012-05-08,1324.0,1331.7,1299.05,1306.0,1305.1,632978.0,-111.33750000000009,1299.05,1299.05,1299.05,1299.05,1299.05,1299.05,15776818.0,1299.05,247569142.0,39354808.0,4375.9,12932.09,1.2816,5554.6,6444.74,1363.72,20484.75,1967.01,5242.06,7545.68,4999.95
2012-05-09,1292.25,1312.0,1285.55,1301.25,1301.9,330149.0,-112.77750000000015,1285.55,1285.55,1285.55,1285.55,1285.55,1285.55,15681632.0,1285.55,241310371.0,39377303.0,4332.2,12835.06,1.2816,5530.1,6475.31,1354.58,20330.64,1950.29,5214.79,7475.68,4974.8
2012-05-10,1290.15,1305.4,1250.15,1261.85,1255.2,415223.0,-112.15000000000009,1250.15,1250.15,1250.15,1250.15,1250.15,1250.15,15625148.0,1250.15,233462072.0,40187119.0,4353.8,12855.04,1.2816,5544.0,6518.0,1357.99,20227.28,1944.93,5192.1,7483.98,4965.7
2012-05-11,1247.95,1251.15,1217.1,1235.25,1240.0,486137.0,-107.77500000000009,1217.1,1217.1,1217.1,1217.1,1217.1,1217.1,15390844.0,1217.1,230879087.0,39849696.0,4342.7,12820.6,1.2816,5575.5,6579.93,1353.39,19964.63,1917.13,5158.14,7401.34,4928.9
2012-05-14,1235.0,1258.0,1231.85,1249.0,1250.0,491946.0,-95.11000000000013,1231.85,1231.85,1231.85,1231.85,1231.85,1231.85,15089596.0,1231.85,231673852.0,40029655.0,4351.9,12695.35,1.2816,5465.5,6451.97,1338.35,19735.04,1913.73,5083.62,7377.15,4907.8
2012-05-15,1238.0,1239.9,1205.1,1217.3,1212.9,567302.0,-88.86500000000001,1205.1,1205.1,1205.1,1205.1,1205.1,1205.1,15130390.0,1205.1,237336549.0,40130882.0,4316.3,12632.0,1.2816,5437.6,6401.06,1330.66,19894.31,1898.96,4977.45,7395.61,4942.8
2012-05-16,1202.25,1202.25,1167.35,1192.1,1195.0,673604.0,-96.94499999999971,1167.35,1167.35,1167.35,1167.35,1167.35,1167.35,14980812.0,1167.35,246376995.0,40040902.0,4214.7,12598.55,1.2753,5405.3,6384.26,1324.8,19259.83,1840.53,4864.23,7234.54,4858.25
2012-05-17,1200.0,1218.0,1188.0,1205.3,1205.0,599674.0,-87.64749999999981,1188.0,1188.0,1188.0,1188.0,1188.0,1188.0,15202564.0,1188.0,248363906.0,40513295.0,4208.5,12442.49,1.2627,5338.4,6308.96,1304.86,19200.93,1845.24,5017.02,7356.74,4870.2
2012-05-18,1175.25,1193.0,1156.0,1166.65,1168.15,612497.0,-85.29499999999985,1156.0,1156.0,1156.0,1156.0,1156.0,1156.0,15264278.0,1156.0,252536420.0,40299594.0,4098.8,12369.38,1.2627,5267.6,6271.22,1295.22,18951.85,1782.46,4879.42,7151.16,4891.45
2012-05-22,1218.85,1224.6,1143.35,1153.95,1147.9,950870.0,-54.76749999999993,1143.35,1143.35,1143.35,1143.35,1143.35,1143.35,15254864.0,1143.35,237237203.0,39253581.0,4173.5,12502.81,1.2564,5403.3,6435.6,1316.63,19039.15,1828.69,4958.43,7274.86,4860.5
2012-05-23,1141.0,1163.9,1116.0,1153.1,1155.2,782054.0,-43.31749999999988,1116.0,1116.0,1116.0,1116.0,1116.0,1116.0,14791486.0,1116.0,239820188.0,37543970.0,4118.8,12496.15,1.2564,5266.4,6285.75,1318.86,18786.19,1808.62,4928.53,7147.72,4835.65
2012-05-24,1128.9,1148.85,1115.45,1144.45,1145.0,955704.0,-33.14249999999993,1115.45,1115.45,1115.45,1115.45,1115.45,1115.45,14878304.0,1115.45,229885632.0,37543970.0,4106.2,12529.75,1.2564,5350.1,6315.89,1320.68,18666.4,1814.47,4904.22,7124.86,4921.4
2012-05-25,1133.0,1150.0,1109.0,1119.0,1117.9,921129.0,-19.967499999999973,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,14921190.0,1109.0,229885632.0,37746424.0,4081.2,12454.83,1.2564,5351.5,6339.94,1317.82,18713.41,1824.17,4925.97,7071.6,4920.4
2012-05-29,1111.0,1136.2,1105.0,1128.35,1123.0,817104.0,4.4025000000001455,1105.0,1105.0,1105.0,1105.0,1105.0,1105.0,14937926.0,1105.0,223527516.0,37206546.0,4168.2,12580.69,1.2564,5391.1,6396.84,1332.42,19055.46,1849.91,5023.11,7342.26,4990.1
2012-05-30,1112.05,1157.35,1110.0,1151.05,1147.0,1151146.0,1.0450000000003001,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,14656552.0,1110.0,222335369.0,36981598.0,4148.7,12419.86,1.2564,5297.3,6280.8,1313.32,18690.22,1844.86,5018.32,7261.77,4950.75
2012-05-31,1129.0,1134.35,1093.15,1100.25,1105.0,3301123.0,10.532500000000255,1093.15,1093.15,1093.15,1093.15,1093.15,1093.15,14828096.0,1093.15,220646494.0,36138039.0,4133.7,12393.45,1.2564,5320.9,6264.38,1310.33,18629.52,1843.47,5091.23,7301.47,4924.25
2012-06-01,1106.95,1118.6,1071.0,1074.85,1075.0,879733.0,4.0050000000003365,1071.0,1071.0,1071.0,1071.0,1071.0,1071.0,14991272.0,1071.0,219156311.0,35429450.0,4116.9,12118.57,1.2507,5260.2,6050.29,1278.04,18558.34,1834.51,5062.44,7106.06,4841.6
2012-06-07,1120.0,1146.4,1110.6,1143.25,1138.1,984712.0,10.7175000000002,1110.6,1110.6,1110.6,1110.6,1110.6,1110.6,15071814.0,1110.6,235339935.0,35148344.0,4156.7,12460.96,1.257,5447.8,6144.22,1314.99,18678.29,1847.95,5022.95,7080.28,5049.65
2012-06-08,1137.0,1137.0,1111.15,1124.05,1127.0,456053.0,16.277500000000146,1111.15,1111.15,1111.15,1111.15,1111.15,1111.15,14906546.0,1111.15,238807191.0,34926448.0,4111.2,12554.2,1.257,5435.1,6130.82,1325.66,18502.34,1835.64,4994.07,6999.62,5068.35
2012-06-13,1138.0,1144.0,1102.5,1107.75,1106.65,1333440.0,-6.942499999999882,1102.5,1102.5,1102.5,1102.5,1102.5,1102.5,15342728.0,1102.5,223204543.0,34216380.0,4111.5,12496.38,1.257,5483.8,6152.49,1314.88,19026.52,1859.32,5109.61,7088.8,5121.45
2012-06-14,1110.15,1125.3,1073.15,1080.1,1075.0,882665.0,-0.6824999999998909,1073.15,1073.15,1073.15,1073.15,1073.15,1073.15,15560296.0,1073.15,225696633.0,33517407.0,4089.8,12651.91,1.257,5467.1,6138.61,1329.1,18808.4,1871.48,5020.85,7075.07,5054.75
2012-06-15,1094.0,1110.0,1077.3,1106.8,1105.7,685861.0,-21.139999999999873,1077.3,1077.3,1077.3,1077.3,1077.3,1077.3,15556112.0,1077.3,220820805.0,33728209.0,4107.0,12767.17,1.257,5478.8,6229.41,1342.84,19233.94,1858.16,4930.63,7155.8,5139.05
2012-06-18,1115.0,1127.45,1083.5,1091.8,1093.05,610175.0,-15.289999999999736,1083.5,1083.5,1083.5,1083.5,1083.5,1083.5,15523686.0,1083.5,232739495.0,33617261.0,4183.9,12741.82,1.2634,5491.1,6248.2,1344.78,19427.81,1891.71,5050.41,7281.47,5064.25
2012-06-19,1090.0,1103.7,1076.4,1090.95,1090.2,430252.0,8.160000000000082,1076.4,1076.4,1076.4,1076.4,1076.4,1076.4,15486030.0,1076.4,245958404.0,35237102.0,4167.4,12837.33,1.2697,5586.3,6363.36,1357.98,19416.67,1891.77,5081.61,7273.1,5103.85
2012-06-20,1089.0,1092.55,1073.0,1076.4,1077.75,616008.0,11.99499999999989,1073.0,1073.0,1073.0,1073.0,1073.0,1073.0,15342728.0,1073.0,246500163.0,33816967.0,4176.8,12824.39,1.2697,5622.3,6392.13,1355.69,19518.85,1904.12,5146.46,7334.6,5120.55
2012-06-21,1080.0,1094.0,1062.1,1088.85,1090.0,844982.0,47.92500000000018,1062.1,1062.1,1062.1,1062.1,1062.1,1062.1,15047756.0,1062.1,238482136.0,35237102.0,4133.7,12573.57,1.276,5566.4,6343.13,1325.51,19265.07,1889.15,5109.43,7279.02,5165.0
2012-06-22,1078.0,1113.3,1074.5,1102.1,1100.0,904652.0,48.77000000000021,1074.5,1074.5,1074.5,1074.5,1074.5,1074.5,14970352.0,1074.5,238915543.0,34593604.0,4093.8,12640.78,1.276,5513.7,6263.25,1335.02,18995.13,1847.39,5120.07,7222.02,5146.05
2012-06-25,1106.6,1133.9,1106.6,1113.9,1110.0,910242.0,53.352499999999964,1106.6,1106.6,1106.6,1106.6,1106.6,1106.6,15056124.0,1106.6,256251818.0,35226007.0,4072.0,12502.66,1.2697,5450.7,6132.39,1313.72,18897.45,1825.38,5167.2,7166.35,5114.65
2012-06-26,1115.0,1120.95,1105.05,1113.2,1114.0,302263.0,54.1099999999999,1105.05,1105.05,1105.05,1105.05,1105.05,1105.05,14924328.0,1105.05,268495562.0,36779280.0,4056.3,12534.67,1.276,5447.0,6136.69,1319.99,18981.84,1817.81,5193.84,7137.9,5120.8
2012-06-27,1121.0,1124.0,1109.0,1121.7,1122.2,532527.0,74.67750000000001,1109.0,1109.0,1109.0,1109.0,1109.0,1109.0,14745462.0,1109.0,271962817.0,36579574.0,4084.0,12627.01,1.276,5523.9,6228.99,1331.85,19176.95,1817.65,5257.92,7182.98,5141.9
2012-06-28,1126.95,1132.0,1110.35,1120.85,1119.0,516495.0,73.64750000000004,1110.35,1110.35,1110.35,1110.35,1110.35,1110.35,14501744.0,1110.35,271421059.0,36180161.0,4085.6,12602.26,1.276,5493.1,6149.91,1329.04,19025.27,1819.18,5256.15,7169.58,5149.15
2012-06-29,1140.0,1176.0,1140.0,1169.75,1169.4,1346720.0,51.852499999999964,1140.0,1140.0,1140.0,1140.0,1140.0,1140.0,15157586.0,1140.0,272396224.0,37877666.0,4135.5,12880.09,1.2824,5571.2,6416.28,1362.16,19441.46,1854.01,5246.41,7296.25,5278.9
2012-07-03,1188.0,1201.2,1185.45,1191.65,1190.2,973813.0,23.920000000000073,1185.45,1185.45,1185.45,1185.45,1185.45,1185.45,15571485.0,1185.45,292116237.0,40041153.0,4166.4,12943.66,1.2894,5687.7,6578.21,1374.02,19735.53,1867.82,5365.7,7418.33,5287.95
2012-07-05,1215.55,1250.0,1213.5,1240.3,1244.0,1278118.0,28.05749999999989,1213.5,1213.5,1213.5,1213.5,1213.5,1213.5,15427975.0,1213.5,307177126.0,40018963.0,4209.9,12896.67,1.2894,5692.6,6535.56,1367.58,19809.13,1875.49,5369.98,7387.75,5327.3
2012-07-06,1240.35,1242.0,1211.5,1215.5,1215.9,611047.0,23.4849999999999,1211.5,1211.5,1211.5,1211.5,1211.5,1211.5,15133079.0,1211.5,301326133.0,39153569.0,4199.0,12772.47,1.2894,5662.6,6410.11,1354.68,19800.64,1858.2,5362.68,7368.56,5316.95
2012-07-09,1212.0,1213.0,1183.75,1187.75,1187.0,403988.0,28.172499999999673,1183.75,1183.75,1183.75,1183.75,1183.75,1183.75,15095331.0,1183.75,317253836.0,40462756.0,4159.8,12736.29,1.2894,5627.3,6387.57,1352.46,19428.09,1836.13,5263.74,7309.93,5275.15
2012-07-10,1193.0,1228.8,1181.0,1220.55,1219.0,794615.0,24.372499999999718,1181.0,1181.0,1181.0,1181.0,1181.0,1181.0,14926068.0,1181.0,311402843.0,40939832.0,4137.9,12653.12,1.2894,5664.1,6438.33,1341.47,19396.36,1829.45,5240.28,7251.32,5345.35
2012-07-11,1214.0,1218.0,1200.05,1203.4,1206.6,407383.0,22.139999999999873,1200.05,1200.05,1200.05,1200.05,1200.05,1200.05,14945904.0,1200.05,305118444.0,40984212.0,4135.0,12604.53,1.2958,5664.5,6453.85,1341.45,19419.87,1826.39,5235.44,7257.88,5306.3
2012-07-12,1199.8,1216.0,1189.15,1195.6,1197.15,559552.0,16.36499999999978,1189.15,1189.15,1189.15,1189.15,1189.15,1189.15,14746500.0,1189.15,316928781.0,40396187.0,4106.0,12573.27,1.2894,5608.3,6419.35,1334.76,19025.11,1785.39,5205.19,7130.9,5235.25
2012-07-13,1200.25,1207.9,1175.65,1183.95,1184.15,592804.0,26.307499999999663,1175.65,1175.65,1175.65,1175.65,1175.65,1175.65,14983488.0,1175.65,320937795.0,41294866.0,4118.3,12777.09,1.2894,5666.1,6557.1,1356.78,19092.63,1812.89,5214.52,7104.24,5227.25
2012-07-16,1190.0,1212.95,1178.4,1203.3,1204.4,599666.0,20.732499999999845,1178.4,1178.4,1178.4,1178.4,1178.4,1178.4,14796612.0,1178.4,336648794.0,40817789.0,4143.2,12727.21,1.2958,5662.4,6565.72,1353.64,19121.34,1817.79,5297.99,7090.01,5197.25
2012-07-17,1210.5,1215.75,1190.6,1196.2,1195.0,273112.0,17.019999999999754,1190.6,1190.6,1190.6,1190.6,1190.6,1190.6,14832108.0,1190.6,337840663.0,40351808.0,4175.3,12805.54,1.2958,5629.1,6577.64,1363.67,19455.33,1821.96,5285.12,7126.97,5192.85
2012-07-18,1197.35,1229.0,1186.8,1226.6,1228.65,508727.0,9.509999999999764,1186.8,1186.8,1186.8,1186.8,1186.8,1186.8,14659848.0,1186.8,344558470.0,40418376.0,4156.4,12908.7,1.2958,5685.8,6684.42,1372.78,19239.88,1794.91,5220.55,7049.02,5216.3
2012-07-19,1175.0,1175.0,1110.0,1117.3,1113.85,8345304.0,-12.012500000000045,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,14857164.0,1110.0,350084407.0,41927270.0,4236.4,12943.36,1.3022,5714.2,6758.39,1376.51,19559.05,1822.96,5189.37,7148.54,5242.7
2012-07-20,1095.25,1151.7,1094.75,1147.5,1146.95,4553438.0,-14.282500000000255,1094.75,1094.75,1094.75,1094.75,1094.75,1094.75,14767380.0,1094.75,357343973.0,41483478.0,4230.6,12822.57,1.3022,5651.8,6630.02,1362.66,19640.8,1822.93,5210.89,7164.65,5205.1
2012-07-23,1106.0,1107.0,1074.3,1079.95,1081.5,4040249.0,-29.285000000000082,1074.3,1074.3,1074.3,1074.3,1074.3,1074.3,14604516.0,1074.3,352793200.0,41072970.0,4159.2,12721.46,1.2958,5533.9,6419.33,1350.52,19053.47,1789.44,5139.4,7028.7,5117.95
2012-07-24,1086.0,1119.0,1085.25,1106.9,1104.0,2373402.0,-28.970000000000255,1085.25,1085.25,1085.25,1085.25,1085.25,1085.25,14476104.0,1085.25,342391435.0,38931672.0,4161.2,12617.32,1.2958,5499.2,6390.41,1338.31,18903.2,1793.93,5159.74,7008.32,5128.2
2012-07-25,1095.0,1107.8,1085.95,1102.95,1104.0,1202467.0,-10.682500000000346,1085.95,1085.95,1085.95,1085.95,1085.95,1085.95,14609736.0,1085.95,344341766.0,39120284.0,4151.4,12676.05,1.2958,5498.3,6406.52,1337.89,18877.33,1769.31,5161.8,6979.1,5109.6
2012-07-26,1110.0,1125.6,1098.6,1108.55,1108.15,2109342.0,-10.067500000000337,1098.6,1098.6,1098.6,1098.6,1098.6,1098.6,14674464.0,1098.6,338599125.0,38621018.0,4173.8,12887.93,1.2958,5573.2,6582.96,1360.02,18892.79,1782.47,5152.56,6970.66,5043.0
2012-07-27,1124.75,1124.95,1106.05,1112.95,1110.0,884839.0,2.1724999999996726,1106.05,1106.05,1106.05,1106.05,1106.05,1106.05,14701608.0,1106.05,346075394.0,38543354.0,4234.4,13075.66,1.3022,5627.2,6689.4,1385.97,19274.96,1829.16,5219.55,7124.46,5099.85
